ACCOUNT_ID,CUSTOMER_ID,ACCOUNT_TYPE,ACCOUNT_NUMBER,BRANCH_CODE,BALANCE,STATUS,OPENED_DATE,CREATED_AT
ACCT_00000001,CUST_000001,CHECKING,947027818,BR_01,430870.82,ACTIVE,2022-04-12,2026-09-20T15:49:40.214376
ACCT_00000002,CUST_000001,MONEY_MARKET,257398836,BR_06,73975.31,INACTIVE,2022-08-05,2026-09-20T15:49:40.214384
ACCT_00000003,CUST_000001,SAVINGS,974723527,BR_02,56670.7,INACTIVE,2022-07-25,2026-09-20T15:49:40.214389
ACCT_00000004,CUST_000002,CHECKING,197116745,BR_06,497386.36,ACTIVE,2022-05-03,2026-09-20T15:49:40.214416
ACCT_00000005,CUST_000002,SAVINGS,478610768,BR_06,247153.82,INACTIVE,2022-10-01,2026-09-20T15:49:40.214420
ACCT_00000006,CUST_000003,MONEY_MARKET,952015843,BR_11,166799.23,CLOSED,2025-04-05,2026-09-20T15:49:40.214437
ACCT_00000007,CUST_000003,SAVINGS,549532354,BR_09,248601.44,CLOSED,2023-11-17,2026-09-20T15:49:40.214440
ACCT_00000008,CUST_000004,MONEY_MARKET,981976044,BR_04,192375.16,CLOSED,2022-08-18,2026-09-20T15:49:40.214455
ACCT_00000009,CUST_000004,SAVINGS,665803901,BR_10,388318.62,CLOSED,2025-05-29,2026-09-20T15:49:40.214458
ACCT_00000010,CUST_000004,MONEY_MARKET,193684208,BR_04,180918.54,ACTIVE,2021-11-13,2026-09-20T15:49:40.214462
ACCT_00000011,CUST_000005,SAVINGS,699550021,BR_08,478812.12,ACTIVE,2026-04-21,2026-09-20T15:49:40.214476
ACCT_00000012,CUST_000006,SAVINGS,936065712,BR_14,69760.7,INACTIVE,2025-10-30,2026-09-20T15:49:40.214488
ACCT_00000013,CUST_000006,MONEY_MARKET,552127953,BR_04,105447.61,ACTIVE,2026-04-29,2026-09-20T15:49:40.214491
ACCT_00000014,CUST_000007,CHECKING,225880985,BR_12,352011.03,INACTIVE,2022-07-12,2026-09-20T15:49:40.214502
ACCT_00000015,CUST_000007,CHECKING,847455877,BR_07,185904.95,CLOSED,2026-01-16,2026-09-20T15:49:40.214505
ACCT_00000016,CUST_000007,MONEY_MARKET,724495847,BR_02,238465.6,CLOSED,2021-10-04,2026-09-20T15:49:40.214509
ACCT_00000017,CUST_000008,CHECKING,257718363,BR_06,70724.62,ACTIVE,2026-03-17,2026-09-20T15:49:40.214519
ACCT_00000018,CUST_000009,MONEY_MARKET,992352458,BR_14,208305.79,ACTIVE,2024-01-02,2026-09-20T15:49:40.214530
ACCT_00000019,CUST_000010,CHECKING,903273909,BR_09,349312.11,INACTIVE,2024-01-02,2026-09-20T15:49:40.214541
ACCT_00000020,CUST_000010,SAVINGS,875840127,BR_06,222042.42,CLOSED,2022-09-28,2026-09-20T15:49:40.214544
ACCT_00000021,CUST_000010,CHECKING,407915944,BR_02,78028.08,CLOSED,2026-06-17,2026-09-20T15:49:40.214547
ACCT_00000022,CUST_000011,CHECKING,640409345,BR_03,5532.7,INACTIVE,2022-10-29,2026-09-20T15:49:40.214559
ACCT_00000023,CUST_000011,SAVINGS,695020389,BR_12,414776.16,CLOSED,2023-10-29,2026-09-20T15:49:40.214562
ACCT_00000024,CUST_000011,SAVINGS,861661789,BR_04,211892.76,ACTIVE,2025-02-11,2026-09-20T15:49:40.214566
ACCT_00000025,CUST_000012,MONEY_MARKET,505402261,BR_03,371593.06,INACTIVE,2023-03-03,2026-09-20T15:49:40.214577
ACCT_00000026,CUST_000013,CHECKING,521219212,BR_03,411270.23,CLOSED,2023-03-31,2026-09-20T15:49:40.214588
ACCT_00000027,CUST_000014,MONEY_MARKET,602979426,BR_08,156663.51,CLOSED,2024-05-14,2026-09-20T15:49:40.214598
ACCT_00000028,CUST_000015,CHECKING,158703244,BR_13,185801.92,INACTIVE,2025-07-19,2026-09-20T15:49:40.214609
ACCT_00000029,CUST_000015,SAVINGS,216394564,BR_02,38996.51,CLOSED,2022-04-10,2026-09-20T15:49:40.214612
ACCT_00000030,CUST_000016,CHECKING,357193290,BR_05,81463.93,ACTIVE,2026-04-10,2026-09-20T15:49:40.214622
ACCT_00000031,CUST_000016,CHECKING,741142796,BR_01,378285.07,INACTIVE,2025-08-02,2026-09-20T15:49:40.214625
ACCT_00000032,CUST_000017,CHECKING,785464921,BR_15,16280.16,INACTIVE,2026-02-28,2026-09-20T15:49:40.214635
ACCT_00000033,CUST_000017,MONEY_MARKET,706445962,BR_01,281913.29,INACTIVE,2026-05-20,2026-09-20T15:49:40.214638
