BRANCH_CODE,BRANCH_NAME,BRANCH_MANAGER,REGION
BR_01,South Tamarachester Branch,Barbara Lopez,SOUTH
BR_02,Jordanstad Branch,Deborah Elliott,SOUTH
BR_03,Kennedyville Branch,Michael Preston,EAST
BR_04,Juantown Branch,Vincent Maxwell,NORTH
BR_05,Flynnberg Branch,Deanna Rose,EAST
BR_06,Johnstad Branch,Nicholas Cobb,SOUTH
BR_07,Jessicamouth Branch,Michelle Sanchez,EAST
BR_08,Douglashaven Branch,Steven Barnett,SOUTH
BR_09,South Michele Branch,Curtis Freeman,EAST
BR_10,Brittanyberg Branch,Thomas White,SOUTH
BR_11,Lopezmouth Branch,Sheri Castillo,NORTH
BR_12,Lake Jacquelineside Branch,Amanda Lawrence,NORTH
BR_13,Ericabury Branch,Ashley Gonzales,NORTH
BR_14,Gibsonport Branch,Richard Smith,WEST
BR_15,West Robert Branch,Bethany Simmons,WEST
