CUSTOMER_ID,FIRST_NAME,LAST_NAME,CUSTOMER_TYPE,TAX_ID,DATE_OF_BIRTH,EMAIL,PHONE,ADDRESS,CREATED_AT
CUST_000001,Danielle,Johnson,PERSON,282-32-3658,1950-03-14,rhodespatricia@example.org,001-260-501-3389,"79402 Peterson Drives Apt. 511, Davisstad, PA 35172",2026-08-22T14:26:20.475225
CUST_000002,Blair PLC,,BUSINESS,41-4744854,,dudleynicholas@example.net,695-993-1034x1316,"55341 Amanda Gardens Apt. 764, Lake Mark, WI 07832",2026-04-27T14:26:20.475416
CUST_000003,Jeremy,Johnson,PERSON,324-52-4387,1945-03-18,jason76@example.net,724.523.8849x696,"Unit 2871 Box 0122, DPO AP 55834",2024-10-24T14:26:20.475542
CUST_000004,Candace,Cruz,PERSON,611-60-8670,1957-10-22,frazierdanny@example.net,001-645-514-6270x48281,"809 Burns Creek, Natashaport, IA 08093",2025-01-20T14:26:20.475757
CUST_000005,Humphrey Inc,,BUSINESS,14-1499914,,dennislisa@example.net,001-822-778-2489x63834,"33150 Brianna Avenue Apt. 031, Port Markhaven, IA 37001",2026-06-13T14:26:20.475937
CUST_000006,Elizabeth,Lewis,PERSON,136-93-9356,1979-11-23,kristenaguirre@example.org,216-856-6701,"33872 White Mountain, Port Sandra, NV 72633",2026-01-21T14:26:20.476151
CUST_000007,Corey,Pearson,PERSON,554-02-1529,2003-09-15,gabrieltucker@example.org,(502)660-6474x6872,"805 Brendan Neck, North Susan, CO 24857",2025-02-19T14:26:20.476353
CUST_000008,Casey,Jones,PERSON,883-31-6616,1948-11-11,bethwilliams@example.org,(799)385-4353x46247,"83842 Ibarra Gardens, Justinmouth, MP 71701",2024-11-20T14:26:20.476569
CUST_000009,"Turner, Riggs and Roman",,BUSINESS,38-8536477,,contrerasangela@example.net,524-711-8244,"740 Cynthia Village Suite 005, Lake Tina, GA 97655",2025-01-21T14:26:20.476810
CUST_000010,Arnold-Patterson,,BUSINESS,10-3678638,,rodriguezsierra@example.net,(280)659-8262,"3315 Dickson Summit, East Michelle, AS 23707",2024-10-02T14:26:20.477027
CUST_000011,Johnson-Doyle,,BUSINESS,53-5661907,,kimberly63@example.com,(616)507-3375,"5414 May Locks, Sheilaville, FM 34738",2026-04-10T14:26:20.477208
CUST_000012,Gregory,Estes,PERSON,272-05-1777,1981-04-12,jessica56@example.net,316.793.4060x88356,"484 Nguyen Square, Angelaborough, MT 87654",2025-10-07T14:26:20.477386
CUST_000013,Shelby,Byrd,PERSON,179-79-9325,1961-03-05,torresjason@example.net,+1-757-377-3872x148,"433 Andrew Gardens, Carrland, NH 54822",2026-06-14T14:26:20.477596
CUST_000014,"Johnston, Higgins and Cruz",,BUSINESS,22-7022674,,psanchez@example.net,5163328708,"889 Dodson Mills Suite 872, Colebury, MP 84080",2025-09-29T14:26:20.477836
CUST_000015,Cannon-Boyd,,BUSINESS,15-8707870,,joshuajones@example.com,845.458.1223,"6587 Brown Village, Priceshire, UT 03061",2025-03-16T14:26:20.478060
CUST_000016,Melissa,Cannon,PERSON,390-62-0097,2004-10-25,karen68@example.net,001-489-937-3467x0656,"PSC 9806, Box 9901, APO AP 56680",2025-08-25T14:26:20.478176
CUST_000017,Derek,Murray,PERSON,052-34-6212,1962-12-21,wmurphy@example.com,264-517-0805x310,"232 Caldwell Port, South Holly, WI 48852",2025-02-28T14:26:20.478362
CUST_000018,Obrien Ltd,,BUSINESS,90-7067228,,stricklandfrank@example.com,590-349-6631,"919 Michael Meadow Suite 185, Port Robertfort, CT 57323",2025-02-02T14:26:20.478536
CUST_000019,Susan,Reid,PERSON,849-59-2507,1970-04-29,christina87@example.com,(294)953-1473x79965,"3545 Beard Squares, Angelahaven, ID 11722",2024-09-25T14:26:20.478713
CUST_000020,John,Russell,PERSON,569-98-3938,1987-09-03,bwest@example.org,736-734-9578x8568,"4313 Wilson Plain Apt. 337, Jennyhaven, PA 37594",2026-08-01T14:26:20.478903
CUST_000021,Tina,Wall,PERSON,304-30-5913,1952-11-29,ericksondavid@example.org,9849271094,"47116 Jones Roads, East Edwardshire, ME 11665",2025-11-24T14:26:20.479114
CUST_000022,Victoria,Wilson,PERSON,783-54-9934,1981-04-01,kimberlyjames@example.com,496-549-9091x3341,"06797 Johnson Heights, Jacquelinemouth, CA 90597",2026-01-21T14:26:20.479323
CUST_000023,Jesus,Baker,PERSON,811-81-9664,1985-09-02,ronaldstephens@example.net,(642)910-2499,"648 Kim Rapid Apt. 659, Anthonybury, TX 75893",2025-08-23T14:26:20.479533
CUST_000024,"Sampson, Key and Chambers",,BUSINESS,68-7120868,,barbara27@example.net,+1-374-429-6717x5655,"6807 Leonard Islands Apt. 680, Gutierrezborough, NC 47920",2026-04-03T14:26:20.479752
CUST_000025,"Avila, Garrett and Wolf",,BUSINESS,55-4514944,,josephanderson@example.com,371.509.3248x086,"Unit 1712 Box 7484, DPO AA 63743",2024-10-30T14:26:20.479936
CUST_000026,Sanchez-Arnold,,BUSINESS,99-2197935,,mlee@example.net,001-921-446-5840x4499,"5886 Cantu Ways Apt. 396, Port Kimberly, AZ 42205",2025-01-01T14:26:20.480130
CUST_000027,Julie,Thornton,PERSON,831-49-6326,2007-12-04,tylerjohnson@example.net,001-851-471-8702,"9615 Finley Road Suite 809, East Crystalport, IN 98381",2025-03-19T14:26:20.480342
CUST_000028,Christopher,Good,PERSON,779-82-1647,1970-11-18,rebecca05@example.org,855-562-3869x2221,"74740 Santana Springs, North Scott, MI 77515",2026-04-02T14:26:20.480517
CUST_000029,Fowler-Coleman,,BUSINESS,58-5528972,,stephen43@example.com,213.969.5944x0640,"95339 Byrd Stravenue Apt. 104, Johnsonstad, VA 17725",2024-11-30T14:26:20.480713
CUST_000030,Christopher,Phillips,PERSON,766-54-2878,1954-05-14,alyssa42@example.com,245.617.1236x8516,"4965 Emily Mountains Apt. 985, Lake Bryan, GU 61353",2024-10-15T14:26:20.480882
CUST_000031,"Turner, Ortiz and Taylor",,BUSINESS,17-4842788,,torrestravis@example.org,482.867.5869,"640 Robinson Mills Apt. 515, Bruceview, ID 16512",2026-08-15T14:26:20.481130
CUST_000032,Davis-Lewis,,BUSINESS,61-5491946,,williamsmatthew@example.org,001-431-283-9335,"84210 Alexis Turnpike, New Mario, HI 35283",2026-07-11T14:26:20.481332
CUST_000033,Brian,Harmon,PERSON,539-15-1042,1973-02-04,william17@example.net,890.884.7007,"711 Franklin Circles Apt. 499, Oscarhaven, LA 59970",2025-02-13T14:26:20.481508
CUST_000034,"Jacobs, Garcia and Miles",,BUSINESS,37-9375710,,russellbeasley@example.com,376-361-5654x52711,"80988 Santiago Loop Suite 604, Michaelshire, NY 28385",2025-08-07T14:26:20.481758
CUST_000035,Douglas and Sons,,BUSINESS,28-5443951,,bellangela@example.org,001-649-636-8998x09402,"PSC 5022, Box 9612, APO AP 83492",2026-04-27T14:26:20.481877
CUST_000036,Teresa,Davis,PERSON,544-28-6164,1969-04-05,eric45@example.net,+1-910-822-9014x767,"6149 Rose Inlet, East Randallton, AL 27295",2025-02-19T14:26:20.482052
CUST_000037,Dougherty-Saunders,,BUSINESS,84-8187926,,keith10@example.com,001-862-226-8388x5160,"9696 Roberts Lodge, West Georgemouth, MP 90889",2025-01-27T14:26:20.482233
CUST_000038,Davis-Richard,,BUSINESS,56-4679591,,ryanmorales@example.org,(745)435-2181x8835,"3292 Gregory Trail, Marshallshire, WV 76453",2026-04-28T14:26:20.482446
CUST_000039,Maldonado-Macias,,BUSINESS,21-1790481,,michelle52@example.com,377-644-9058,"54119 Ford Plaza, South Reginashire, SD 25173",2026-05-27T14:26:20.482628
CUST_000040,Marc,Alvarez,PERSON,155-08-7382,1947-10-01,toni18@example.net,(703)777-8892,"PSC 6659, Box 0515, APO AE 73634",2024-12-13T14:26:20.482739
CUST_000041,Erika,Mitchell,PERSON,742-85-9875,2000-02-04,christopher25@example.com,+1-762-291-4865x2816,"57332 Chris Vista, New Kellihaven, AZ 87261",2024-10-20T14:26:20.482905
CUST_000042,Walter-Williamson,,BUSINESS,86-2065818,,lmoore@example.net,001-592-670-6537x94738,"Unit 7359 Box 7746, DPO AP 69636",2025-08-18T14:26:20.483033
CUST_000043,Burch-Montoya,,BUSINESS,86-8852574,,moniquewilliams@example.com,(881)381-4124x782,"USNS Velasquez, FPO AA 03996",2025-03-24T14:26:20.483214
CUST_000044,Brown-Shaw,,BUSINESS,80-1192619,,paulmiller@example.org,4519522047,"04328 Rodriguez Heights, West David, IA 55528",2024-10-20T14:26:20.483426
CUST_000045,Danielle,Dean,PERSON,065-15-8190,1981-04-16,chenbailey@example.net,(446)309-5396,"88888 Peter Mountains Apt. 654, West Kristinastad, IA 96569",2024-10-18T14:26:20.483626
CUST_000046,"Fuller, Ingram and Moss",,BUSINESS,92-6707197,,dennis58@example.com,+1-227-772-2170x4303,"USCGC Hays, FPO AP 62550",2026-05-25T14:26:20.483807
CUST_000047,Johnson-Lucas,,BUSINESS,65-3653446,,michael05@example.com,956-767-6527,"PSC 8416, Box 1692, APO AP 39005",2025-06-09T14:26:20.483922
CUST_000048,Manuel,Miller,PERSON,677-38-5022,1971-01-13,cjackson@example.com,205.496.4016x582,"21355 Herring Bypass Apt. 755, Hinesshire, DC 69898",2025-12-21T14:26:20.484121
CUST_000049,Michael,Edwards,PERSON,286-32-1859,1942-06-22,victorhughes@example.net,344-473-9473,"71551 Vance Vista Apt. 258, North Tracie, WY 18703",2025-04-15T14:26:20.484330
CUST_000050,Joel,Snyder,PERSON,370-71-9377,1965-10-18,cherylmiller@example.com,(778)466-9125x1778,"68018 Kevin Estates, Sarahbury, MI 68513",2024-12-15T14:26:20.484527
CUST_000051,Singleton-King,,BUSINESS,91-9517169,,david49@example.net,782-299-2299,"09439 Montgomery Burgs, Smallside, LA 84637",2025-01-01T14:26:20.484724
CUST_000052,Sue,Webb,PERSON,825-88-6654,1960-12-08,barkereric@example.com,373.759.2555x6258,"7321 Kelly Lights, Wrightburgh, GU 43418",2026-04-13T14:26:20.484932
CUST_000053,"Griffith, Lee and Moore",,BUSINESS,30-9897858,,tjimenez@example.com,2162873395,"8016 Nicole Stream Suite 650, Williamsside, ID 48017",2026-09-16T14:26:20.485157
CUST_000054,"Roberts, Hughes and Cole",,BUSINESS,72-1326765,,marcia99@example.org,(816)255-8523,"578 Hernandez Passage, West Sarah, MD 21800",2026-05-25T14:26:20.485369
CUST_000055,Ewing-Stevenson,,BUSINESS,49-5017343,,brittney88@example.net,994.670.5516x9409,"Unit 9930 Box 9728, DPO AP 95027",2026-07-19T14:26:20.485484
CUST_000056,Christine,Randall,PERSON,152-88-3969,1942-11-10,leescott@example.com,(563)768-9702,"Unit 7865 Box 2785, DPO AP 46938",2025-02-13T14:26:20.485624
CUST_000057,Erica,Dillon,PERSON,698-83-4332,1982-03-13,susanramirez@example.com,644.637.5758,"5240 Moses Common Suite 747, East Maria, KY 74165",2026-06-21T14:26:20.485830
CUST_000058,"Nelson, Rodriguez and Yang",,BUSINESS,18-9937326,,johnsantiago@example.net,230.416.5712,"3454 Rebecca Corners Apt. 802, Khanburgh, PW 05264",2026-05-11T14:26:20.486076
CUST_000059,Wendy,Sanders,PERSON,508-24-4743,2000-04-30,evanscarrie@example.com,978-687-2874x3152,"549 Gregory Walks, Wilcoxhaven, MD 11869",2024-11-10T14:26:20.486290
